distribution,num_nodes,seed,run,hv
C,100,42,1,0.5749678408526848
C,100,42,2,0.5365135104611691
C,100,42,3,0.6350864668709962
C,100,42,4,0.6020460686198267
C,100,42,5,0.5289635386072982
C,100,43,1,0.44117663349377934
C,100,43,2,0.550350158021066
C,100,43,3,0.5230404151069276
C,100,43,4,0.4911590601658926
C,100,43,5,0.5445337526740756
C,100,44,1,0.6035074281992407
C,100,44,2,0.5851881537243807
C,100,44,3,0.5602744088268722
C,100,44,4,0.5562149980349391
C,100,44,5,0.5417041076665167
C,100,45,1,0.541726609180713
C,100,45,2,0.5851119603598383
C,100,45,3,0.5502115409941282
C,100,45,4,0.5165404234576652
C,100,45,5,0.5536011261992898
C,100,46,1,0.6198905688250858
C,100,46,2,0.5501229092333377
C,100,46,3,0.5911209356595443
C,100,46,4,0.6012508723592337
C,100,46,5,0.5788741022784608
C,200,42,1,0.4518028177642645
C,200,42,2,0.46519011469710897
C,200,42,3,0.4805529990973135
C,200,42,4,0.4405548303545427
C,200,42,5,0.46219383095494576
C,200,43,1,0.42360685640131435
C,200,43,2,0.4021969099055811
C,200,43,3,0.3711829637917998
C,200,43,4,0.3863223938599448
C,200,43,5,0.4235568692779801
C,200,44,1,0.40169919352195954
C,200,44,2,0.4138999849415267
C,200,44,3,0.40668374600337337
C,200,44,4,0.4402978109287792
C,200,44,5,0.4217871596820417
C,200,45,1,0.4153568523062625
C,200,45,2,0.4460098720374476
C,200,45,3,0.4442870927077558
C,200,45,4,0.43506660089691557
C,200,45,5,0.42548473163897504
C,200,46,1,0.4345469676787336
C,200,46,2,0.43376880000691603
C,200,46,3,0.4540888256585204
C,200,46,4,0.4285511606484317
C,200,46,5,0.43872658382210095
C,400,42,1,0.28810117322150636
C,400,42,2,0.30509222043292816
C,400,42,3,0.3147992084635587
C,400,42,4,0.3350823369925679
C,400,42,5,0.3295332047424804
C,400,43,1,0.27273471855689846
C,400,43,2,0.2891767143110228
C,400,43,3,0.2877786168157873
C,400,43,4,0.3371079979769707
C,400,43,5,0.30218252261815237
C,400,44,1,0.2775427668337144
C,400,44,2,0.31554556948912543
C,400,44,3,0.2726643438668209
C,400,44,4,0.2966576263315109
C,400,44,5,0.3009837870735762
C,400,45,1,0.31292618123111815
C,400,45,2,0.32957049969535174
C,400,45,3,0.31935934717710035
C,400,45,4,0.3079760727633033
C,400,45,5,0.32606826790390836
C,400,46,1,0.3165356936709683
C,400,46,2,0.33540212015195514
C,400,46,3,0.3065024733709077
C,400,46,4,0.29288578787645886
C,400,46,5,0.28733206925118954
C,1000,42,1,0.20563167393112014
C,1000,42,2,0.20304298315094702
C,1000,42,3,0.1998616325058727
C,1000,42,4,0.18956878486016082
C,1000,42,5,0.21351545700711
C,1000,43,1,0.1822947261603699
C,1000,43,2,0.18699249297261325
C,1000,43,3,0.17840689745299865
C,1000,43,4,0.18124981508848323
C,1000,43,5,0.22487573332876087
C,1000,44,1,0.20038848922534877
C,1000,44,2,0.20997377860987032
C,1000,44,3,0.20429111186136564
C,1000,44,4,0.19604986685123027
C,1000,44,5,0.18974487990437044
C,1000,45,1,0.20026107059507942
C,1000,45,2,0.20414307232299495
C,1000,45,3,0.1971389231442044
C,1000,45,4,0.20999390634044945
C,1000,45,5,0.21254803244541184
C,1000,46,1,0.1812663569948881
C,1000,46,2,0.22304644673607923
C,1000,46,3,0.2047311844624262
C,1000,46,4,0.19112969854544543
C,1000,46,5,0.18614158916304124
R,100,42,1,0.5372192701837887
R,100,42,2,0.4849486876459751
R,100,42,3,0.49318193649798625
R,100,42,4,0.5322186576789817
R,100,42,5,0.4935959610397175
R,100,43,1,0.4848186135107359
R,100,43,2,0.43298721657513667
R,100,43,3,0.4848187103505983
R,100,43,4,0.5073479217189069
R,100,43,5,0.4706117598212371
R,100,44,1,0.5384211614675696
R,100,44,2,0.4868091859772853
R,100,44,3,0.5138464772839797
R,100,44,4,0.5006975654728932
R,100,44,5,0.5484268139604213
R,100,45,1,0.49010845345029924
R,100,45,2,0.48843148343623877
R,100,45,3,0.47538179592797125
R,100,45,4,0.48110563952700613
R,100,45,5,0.46854275527423156
R,100,46,1,0.510072160225712
R,100,46,2,0.46780751259266673
R,100,46,3,0.507936839810539
R,100,46,4,0.43775124394345216
R,100,46,5,0.4892002268612109
R,200,42,1,0.41132735146038607
R,200,42,2,0.4120531945818152
R,200,42,3,0.3572724367277042
R,200,42,4,0.3920101537268594
R,200,42,5,0.37467149530318433
R,200,43,1,0.3499504566227644
R,200,43,2,0.3485698221324803
R,200,43,3,0.33995502982838643
R,200,43,4,0.359395987526363
R,200,43,5,0.3552684919334085
R,200,44,1,0.4150307390001467
R,200,44,2,0.41045814421131976
R,200,44,3,0.36034645511387187
R,200,44,4,0.38296650700382445
R,200,44,5,0.3872996192172765
R,200,45,1,0.43012950740815115
R,200,45,2,0.37923098823626683
R,200,45,3,0.41035703925820727
R,200,45,4,0.4023981978104323
R,200,45,5,0.4136675964871199
R,200,46,1,0.41398306806301405
R,200,46,2,0.3751940755091108
R,200,46,3,0.40395966821608886
R,200,46,4,0.4060632436693523
R,200,46,5,0.37113684129564656
R,400,42,1,0.3332809238333437
R,400,42,2,0.33089422858794504
R,400,42,3,0.31084091211624065
R,400,42,4,0.2927175481709579
R,400,42,5,0.32010307275152133
R,400,43,1,0.3523648498283661
R,400,43,2,0.3092446569001943
R,400,43,3,0.3052512176491022
R,400,43,4,0.32404025717888696
R,400,43,5,0.2681498209009919
R,400,44,1,0.31911388898487214
R,400,44,2,0.3483175765616412
R,400,44,3,0.316098949698315
R,400,44,4,0.3376868632236749
R,400,44,5,0.32356914322985225
R,400,45,1,0.3120939912934257
R,400,45,2,0.3061656015912303
R,400,45,3,0.3029801139008585
R,400,45,4,0.3088444057292294
R,400,45,5,0.3211136584957913
R,400,46,1,0.3172389697585657
R,400,46,2,0.30310019690470374
R,400,46,3,0.30362506048076293
R,400,46,4,0.29301028025474096
R,400,46,5,0.34772264362082966
R,1000,42,1,0.17473081300868598
R,1000,42,2,0.19840391092051748
R,1000,42,3,0.1653946686698719
R,1000,42,4,0.18315119184161666
R,1000,42,5,0.1962178537899651
R,1000,43,1,0.20401485795591198
R,1000,43,2,0.199830465516531
R,1000,43,3,0.19972207615805118
R,1000,43,4,0.18271620799523
R,1000,43,5,0.18247014642129805
R,1000,44,1,0.19388512562675583
R,1000,44,2,0.20626445540058522
R,1000,44,3,0.2044615106086625
R,1000,44,4,0.20091045862608364
R,1000,44,5,0.22377131160776456
R,1000,45,1,0.17969385417895778
R,1000,45,2,0.22319166249768435
R,1000,45,3,0.2083869476424025
R,1000,45,4,0.19332213899718703
R,1000,45,5,0.18903158191780936
R,1000,46,1,0.16077292096346282
R,1000,46,2,0.17732384662322506
R,1000,46,3,0.19362473019807336
R,1000,46,4,0.21041664475384575
R,1000,46,5,0.188729564635723
RC,100,42,1,0.5933504007000832
RC,100,42,2,0.5790523238495338
RC,100,42,3,0.6052353719372624
RC,100,42,4,0.5807884584525967
RC,100,42,5,0.5564236555857274
RC,100,43,1,0.5537718439066142
RC,100,43,2,0.5554715754329124
RC,100,43,3,0.5179559219314257
RC,100,43,4,0.5854106944451919
RC,100,43,5,0.5200835961480992
RC,100,44,1,0.5128834333655892
RC,100,44,2,0.5048311921285074
RC,100,44,3,0.5331230051477883
RC,100,44,4,0.531322493487802
